,Unnamed: 0.1,Cluster Name,Keyword,page,Unnamed: 0,clicks,impressions,ctr,position,Cluster,query
14,14,Travel,10 best things to do in copenhagen,https://bookonboard.com/to-do-copenhagen/?utm_source=rss&utm_medium=rss&utm_campaign=to-do-copenhagen,486165137,0,606,0.0,36256.57381,Travel,38
15,15,Travel,10 best things to do in copenhagen,https://bookonboard.com/to-do-copenhagen/,415083049,0,513,0.0,29774.25238,Travel,59
16,16,Travel,10 things to do in amsterdam,https://bookonboard.com/things-to-do-in-amsterdam/,198396313,0,285,0.0,13300.6,Travel,21
17,17,Travel,10 things to know about amsterdam,https://bookonboard.com/things-to-do-in-amsterdam/#10_Things_To_Do_in_Amsterdam_in_2021,14965,0,1,0.0,57.0,Travel,1
18,18,Travel,10 things to know about amsterdam,https://bookonboard.com/things-to-do-in-amsterdam/#Best_things_to_do_in_Amsterdam,14966,0,1,0.0,57.0,Travel,1
19,19,Travel,10 things to know about amsterdam,https://bookonboard.com/things-to-do-in-amsterdam/#FAQs_about_things_to_do_in_Amsterdam,14967,0,1,0.0,57.0,Travel,1
20,20,Travel,unique places to stay in the netherlands,https://bookonboard.com/unique-places-to-stay-in-the-netherlands/#Where_are_the_best_places_to_stay_in_the_Netherlands,39872048,0,30,0.0,166.0,Travel,4
21,21,Travel,unique places to stay in the netherlands,https://bookonboard.com/unique-places-to-stay-in-the-netherlands/#What_are_the_unique_stays_in_Amsterdam_and_the_Netherlands,39872009,0,30,0.0,166.0,Travel,4
22,22,Travel,unique places to stay in the netherlands,https://bookonboard.com/unique-places-to-stay-in-the-netherlands/#What_is_the_average_rate_of_a_hotel_in_Amsterdam,15663999,0,11,0.0,59.0,Travel,4
23,23,Travel,unique places to stay in the netherlands,https://bookonboard.com/unique-places-to-stay-in-the-netherlands/#FAQs,39871981,0,30,0.0,166.0,Travel,4
24,24,Travel,unusual things to do in copenhagen,https://bookonboard.com/to-do-copenhagen/?utm_source=rss&utm_medium=rss&utm_campaign=to-do-copenhagen#Tips_and_Guide_when_visiting_the_Copenhagen_City,1555712,0,1,0.0,84.0,Travel,1
25,25,Travel,unusual things to do in copenhagen,https://bookonboard.com/to-do-copenhagen/?utm_source=rss&utm_medium=rss&utm_campaign=to-do-copenhagen#FAQs_about_things_to_do_in_Copenhagen,1555711,0,1,0.0,84.0,Travel,1
26,26,Travel,unusual things to do in copenhagen,https://bookonboard.com/to-do-copenhagen/?utm_source=rss&utm_medium=rss&utm_campaign=to-do-copenhagen#Best_Attractions_in_Copenhagen_for_Visitors,1555710,0,1,0.0,84.0,Travel,1
27,27,Travel,10 best things to do in california,https://bookonboard.com/things-to-do-in-california/,252017142,0,366,0.0,17224.19762,Travel,13
28,28,Travel,10 things to do in california,https://bookonboard.com/things-to-do-in-california/#Top_10_things_to_do_in_California,14645,0,1,0.0,100.0,Travel,1
29,29,Travel,10 things to do in california,https://bookonboard.com/things-to-do-in-california/#Enjoy_a_day_or_two_at_the_Santa_Catalina_Island,14644,0,1,0.0,100.0,Travel,1
30,30,Travel,best weekend getaways in new england,https://bookonboard.com/best-winter-getaways-in-new-england/,1131166019,1,1529,1.0,58821.20152,Travel,88
31,31,Travel,best weekend trips in california,https://bookonboard.com/web-stories/best-weekend-getaways-from-los-angeles/,3287353654,4,5162,1.783333333,155787.7997,Travel,257
32,32,Travel,10 best things to do in brisbane,https://bookonboard.com/things-to-do-in-brisbane/,558486639,0,637,0.0,40514.5,Travel,77
33,33,Travel,10 things to do in perth,https://bookonboard.com/things-to-do-in-perth/,397571495,0,395,0.0,29206.625,Travel,67
34,34,Travel,best things to do in sydney,https://bookonboard.com/things-to-do-in-sydney/,13607496,0,12,0.0,606.0,Travel,8
35,35,equipments,1mm neoprene socks,https://bookonboard.com/best-neoprene-socks-for-hiking/,222927261,0,364,0.0,12752.63333,equipments,52
36,36,equipments,are neoprene socks warm,https://bookonboard.com/are-neoprene-socks-warm/,17001030,0,29,0.0,1121.0,equipments,13
37,37,equipments,neoprene socks waterproof,https://bookonboard.com/are-neoprene-socks-waterproof/,1062774,0,1,0.0,34.0,equipments,1
38,38,equipments,28w solar charger,https://bookonboard.com/best-portable-solar-charger/,3455168886,0,7942,0.0,396726.7779,equipments,416
39,39,equipments,best camping solar generator,https://bookonboard.com/best-portable-solar-generator/#2_WAWUI_Portable_Power_Station,36997582,0,81,0.0,4437.866667,equipments,30
40,40,equipments,best camping solar generator,https://bookonboard.com/best-portable-solar-generator/#1_Jackery_Portable_Power_Station_Explorer_240,36997511,0,81,0.0,4437.866667,equipments,30
41,41,equipments,best portable solar generators,https://bookonboard.com/best-portable-solar-generator/#3_EF_ECOFLOW_Portable_Power_Station_RIVER,20137882,0,46,0.0,2411.866667,equipments,19
42,42,equipments,best solar accessories,https://bookonboard.com/best-solar-powered-gadgets/#5_Mesqools_5-Way_Powered_Solar_Hand_Crank_NOAA_Weather_Radio,412588209,0,973,0.0,3184.144589,equipments,20
43,43,equipments,best solar accessories,https://bookonboard.com/best-solar-powered-gadgets/#Best_Solar_Powered_Accessories_List_8211_Specs_and_Price,421736245,0,993,0.0,3474.766811,equipments,22
44,44,equipments,best solar accessories,https://bookonboard.com/best-solar-powered-gadgets/#4_BigBlue_3_USB_Ports_Solar_Charger,232838850,0,473,0.0,1730.45,equipments,13
45,45,equipments,best solar accessories,https://bookonboard.com/best-solar-powered-gadgets/#2_FosPower_Emergency_Solar_Hand_Crank_Portable_Radio,320822885,0,574,0.0,2865.95,equipments,21
46,46,equipments,best solar accessories,https://bookonboard.com/best-solar-powered-gadgets/#10_GOSUN_Solar_Oven_Portable_Stove,48798764,0,119,0.0,777.8333333,equipments,8
47,47,equipments,best solar accessories,https://bookonboard.com/best-solar-powered-gadgets/#8_Solar_Fan_Free_Energy_Source,248852639,0,432,0.0,1556.783333,equipments,16
48,48,equipments,best solar devices,https://bookonboard.com/best-solar-powered-gadgets/#Things_to_Consider_While_Buying_Solar_Powered_Gadgets_on_Budget,451344615,0,1019,0.0,3481.266811,equipments,21
49,49,equipments,best solar fan for camping,https://bookonboard.com/solar-fans-for-camping/,59448105,0,69,0.0,2147.0,equipments,18
50,50,equipments,best solar gadgets,https://bookonboard.com/web-stories/10-best-solar-powered-gadgets-for-camping-in-2021/,57455624,0,122,0.0,1526.222619,equipments,14
51,51,equipments,best solar generator,https://bookonboard.com/best-portable-solar-generator/,6631959527,2,27542,1.035714286,738637.6945,equipments,398
52,52,equipments,best solar powered gadgets,https://bookonboard.com/best-solar-powered-gadgets/#6_TANSOREN_2_Pack_Portable_LED_Camping_Lantern,29101292,0,44,0.0,291.8333333,equipments,5
53,53,equipments,best solar powered products,https://bookonboard.com/best-solar-powered-gadgets/#1_BLAVOR_Solar_Power_Bank_Portable_Charger,330640365,1,585,0.3333333333,2968.45,equipments,25
54,54,equipments,buy solar power devices,https://bookonboard.com/best-solar-powered-gadgets/#3_Luposwiten_LEDs_Motion_Sensor_Light,13400346,0,13,0.0,221.5,equipments,7
55,55,equipments,solar gadgets 2021,https://bookonboard.com/best-solar-powered-gadgets/,6185361631,74,18537,36.07063492,212698.0251,equipments,163
56,56,equipments,solar gadgets for camping,https://bookonboard.com/best-solar-powered-gadgets/#9_BUSYPIGGY_Camping_Fan,14237992,0,19,0.0,145.0,equipments,3
57,57,equipments,10 person waterproof tent,https://bookonboard.com/best-6-person-tent/,1961775196,0,11486,0.0,336414.3868,equipments,343
58,58,equipments,4 person tent,https://bookonboard.com/best-tents-for-long-term-camping/,63016554,0,180,0.0,3522.133333,equipments,33
59,59,equipments,4 season tent 6 person,https://bookonboard.com/best-6-person-tent/#1_Hikergarden_Camping_Tent,15456863,0,49,0.0,2757.5,equipments,22
60,60,equipments,4 season tent 6 person,https://bookonboard.com/best-6-person-tent/#2_Coleman_Steel_Creek_Fast_Pitch_Dome_Tent,15456908,0,49,0.0,2757.5,equipments,22
61,61,equipments,best 6x6 canopy,https://bookonboard.com/best-pop-up-canopy/#10_Cooshade_Canopy_62156,4336778,0,22,0.0,197.5,equipments,1
62,62,equipments,best 6x6 canopy,https://bookonboard.com/best-pop-up-canopy/#Things_to_Consider_Before_Getting_a_Pop_up_Canopy_Tent,8436962,0,49,0.0,423.6428571,equipments,2
63,63,equipments,best 6x6 canopy,https://bookonboard.com/best-pop-up-canopy/#Top_10_Best_Pop_Up_Canopy_Tents,15004941,0,105,0.0,671.4761905,equipments,3
64,64,equipments,best 6x6 canopy,https://bookonboard.com/best-pop-up-canopy/#10_Best_Pop_Up_Canopy_Tents_8211_Frequently_Asked_Questions_8211_FAQs,14763719,0,102,0.0,663.9761905,equipments,3
65,65,equipments,best backpacking tent for two plus dogs,https://bookonboard.com/best-backpacking-tent-for-dogs/,2426317,0,7,0.0,430.0,equipments,4
66,66,equipments,best heater for camping,https://bookonboard.com/5-best-low-wattage-heater-for-camping/,7775228,0,11,0.0,563.0,equipments,8
67,67,equipments,1 person pop up canopy,https://bookonboard.com/best-pop-up-canopy/#1_ABCCANOPY_Outdoor_Pop-up_Canopy,54140956,0,141,0.0,4918.392857,equipments,35
68,68,equipments,1 person pop up canopy,https://bookonboard.com/best-pop-up-canopy/#2_Eurmax_1021510_Ez_Pop_Up_Canopy_Tent,54141073,0,141,0.0,4918.392857,equipments,35
69,69,equipments,6 by 6 pop up canopy,https://bookonboard.com/best-pop-up-canopy/#3_ABCCANOPY_1021510_Pop_Up_Canopy_Tent,32234443,0,93,0.0,2716.142857,equipments,22
70,70,equipments,best 6x6 pop up canopy,https://bookonboard.com/best-pop-up-canopy/#4_Master_Canopy_Pop-up_Canopy_Tent,5457297,0,31,0.0,278.6428571,equipments,2
71,71,equipments,a portable blender,https://bookonboard.com/best-portable-blender/#What_exactly_is_a_portable_blender,95467327,0,167,0.0,6125.5,equipments,67
72,72,equipments,a portable blender,https://bookonboard.com/best-portable-blender/#1_BlenderX_CORDLESS_HOME_PORTABLE_TRAVEL_Blender,100453691,0,176,0.0,6228.333333,equipments,69
73,73,equipments,are portable blenders worth it,https://bookonboard.com/best-portable-blender/#7_iOCSmart_Portable_Personal_Blender,5687733,0,17,0.0,175.0,equipments,8
74,74,equipments,are portable blenders worth it,https://bookonboard.com/best-portable-blender/#3_2021_Newly_Upgraded_Version_Hotsch_Portable_Blender,25651200,0,45,0.0,428.5,equipments,10
75,75,equipments,are portable blenders worth it,https://bookonboard.com/best-portable-blender/#4_Supkitdin_Portable_Blender,9114649,0,13,0.0,148.6666667,equipments,5
76,76,equipments,are portable blenders worth it,https://bookonboard.com/best-portable-blender/#8_Tenswall_Portable_Blender,14257494,0,28,0.0,299.6666667,equipments,10
77,77,equipments,are portable blenders worth it,https://bookonboard.com/best-portable-blender/#Things_to_Consider_When_Buying_a_Portable_Blender,17837397,0,32,0.0,328.6666667,equipments,9
78,78,equipments,best cordless blender,https://bookonboard.com/best-portable-blender/#5_La_Reveuse_Blender,6792438,0,21,0.0,209.0,equipments,10
79,79,equipments,best cordless personal blender,https://bookonboard.com/best-portable-blender/#6_Popbabies_Portable_Blender,7280914,0,19,0.0,237.0,equipments,8
80,80,equipments,best cordless personal blender,https://bookonboard.com/best-portable-blender/#10_Ninja_Personal_Blender,14086958,0,20,0.0,120.5,equipments,2
81,81,equipments,best handheld smoothie blender,https://bookonboard.com/web-stories/top-10-best-portable-travel-blenders-review-and-guide-2021/,159401630,0,182,0.0,12106.41667,equipments,13
82,82,equipments,best portable blender,https://bookonboard.com/best-portable-blender/,18281801423,33,51255,17.49228631,1163470.761,equipments,1297
83,83,equipments,aa airlines baggage,https://bookonboard.com/american-airlines-carry-on-size/#American_Airlines_Checked_Luggage_Dimension_and_Policies,67174488,0,219,0.0,11694.5,equipments,159
84,84,equipments,aa airlines baggage,https://bookonboard.com/american-airlines-carry-on-size/#American_Airlines_Carry-onnbspand_Personal_Item,73126665,0,319,0.0,8178.916667,equipments,98
85,85,equipments,aa baggage rules,https://bookonboard.com/american-airlines-carry-on-size/#Special_or_Additional_Items,96452921,0,377,0.0,9955.916667,equipments,131
86,86,equipments,alaska air baggage carry on,https://bookonboard.com/alaska-airlines-carry-on-size/#The_TSA_3-1-1_Rule,8787211,0,58,0.0,2190.5,equipments,40
87,87,equipments,alaska air baggage carry on,https://bookonboard.com/alaska-airlines-carry-on-size/#Alaska_Airlines_Carry-On_Baggage_Policy,8860777,0,59,0.0,2199.5,equipments,41
88,88,equipments,alaska air baggage restrictions,https://bookonboard.com/alaska-airlines-carry-on-size/#Alaska_Airlines_Excess_Baggage_Fees,3714832,0,27,0.0,1018.0,equipments,23
89,89,equipments,allegiant air baggage,https://bookonboard.com/allegiant-baggage-fees/#Allegiant_Air_Restrictednbsp_ProhibitednbspItemsnbspPolicynbsp,11294540,0,50,0.0,1319.0,equipments,40
90,90,equipments,cathay pacific airlines baggage,https://bookonboard.com/cathay-pacific-airlines/,4364762231,7,14501,6.5,206412.3393,equipments,387
91,91,equipments,hawaii airlines check in baggage,https://bookonboard.com/hawaiian-airlines-baggage-fees/#Hawaiian_Airlines_additional_baggage_fees,16185916,0,20,0.0,546.0,equipments,20
92,92,equipments,16 inch carry-on luggage,https://bookonboard.com/best-underseat-luggage/,27544935318,15,142033,6.03833046,370207.8232,equipments,6457
93,93,equipments,22-inch carry-on luggage,https://bookonboard.com/southwest-airlines-carry-on-size/#Southwests_Checked_Baggage_Allowance,629645969,0,828,0.0,8194.263889,equipments,171
94,94,equipments,22-inch carry-on luggage,https://bookonboard.com/southwest-airlines-carry-on-size/#Southwest_Airlines8217_Carry-on_Luggage_Reminders,498090575,0,786,0.0,3555.350245,equipments,44
95,95,equipments,22-inch carry-on luggage,https://bookonboard.com/southwest-airlines-carry-on-size/#Southwest_Airline8217s_Carry-On_Weight_Limit_and_Luggage_Size,21245861,0,22,0.0,179.5,equipments,8
96,96,equipments,22-inch carry-on luggage,https://bookonboard.com/southwest-airlines-carry-on-size/#Frequently_Asked_Questions,421960549,0,622,0.0,2971.991667,equipments,39
97,97,equipments,22-inch carry-on luggage,https://bookonboard.com/southwest-airlines-carry-on-size/#Additional_Items_not_included_as_part_of_Carry-on_or_Personal_Item,489182743,0,688,0.0,4493.791667,equipments,85
98,98,equipments,22-inch carry-on luggage,https://bookonboard.com/southwest-airlines-carry-on-size/#Southwest_Personal_Item_Size,645797241,0,875,0.0,8404.050245,equipments,172
99,99,equipments,22x14x9 luggage how to measure,https://bookonboard.com/how-to-measure-luggage/#Know_About_Airline_Limitations,5693156228,0,22534,0.0,45957.84673,equipments,232
100,100,equipments,62 inches luggage size,https://bookonboard.com/category/airline-fees/,62973646,0,112,0.0,8106.0,equipments,16
101,101,equipments,aa carry on size,https://bookonboard.com/american-airlines-carry-on-size/#AnbspCompletenbspPackingnbspGuide_and_Tips_for_American_Airline_Travelersnbsp,17160266,0,46,0.0,2226.0,equipments,35
102,102,equipments,american airline carry on luggage dimensions,https://bookonboard.com/american-airlines-carry-on-size/,26671705430,45,166710,26.88263403,3343299.302,equipments,4390
103,103,equipments,bag size measurement,https://bookonboard.com/how-to-measure-luggage/#Why_Airlines_Put_Luggage_Size_and_Weight_Restrictions,10867311,0,32,0.0,92.36666667,equipments,12
104,104,equipments,cabin bag size vueling,https://bookonboard.com/vueling-carry-on-size/#Vueling_Carryon_and_Personal_Item_Dimension_and_Weight_Policy,281322012,0,235,0.0,1902.5,equipments,35
105,105,equipments,cabin bag size vueling,https://bookonboard.com/vueling-carry-on-size/#Vueling_Luggage_Fees,270272182,0,229,0.0,1668.0,equipments,31
106,106,equipments,cabin bag size vueling,https://bookonboard.com/vueling-carry-on-size/#Vueling_Policy_Summary,301812336,0,250,0.0,2115.0,equipments,44
107,107,equipments,how are luggage sizes measured,https://bookonboard.com/web-stories/how-to-measure-luggage/,566007607,0,1117,0.0,1339.0,equipments,53
108,108,equipments,how to measure luggage dimensions,https://bookonboard.com/how-to-measure-luggage/#Why_You_Should_Always_Measure_Your_Luggage,6675554919,1,29685,0.07142857143,53952.9212,equipments,253
109,109,equipments,how to measure luggage size,https://bookonboard.com/how-to-measure-luggage/#Two_reasons_to_measure_your_bags,5621345764,1,22468,0.02040816327,42697.51979,equipments,198
110,110,equipments,how to measure luggage size,https://bookonboard.com/how-to-measure-luggage/#Measure_for_Linear_Inches,6579077395,1,29559,0.01785714286,51710.55596,equipments,236
111,111,equipments,how to measure luggage size,https://bookonboard.com/how-to-measure-luggage/,82340351533,2706,279741,631.3084383,1150813.152,equipments,4831
112,112,equipments,southwest airlines carry on size,https://bookonboard.com/southwest-airlines-carry-on-size/,117176901681,339,460149,103.2690833,2173748.476,equipments,3730
113,113,equipments,vueling airline carry on size,https://bookonboard.com/vueling-carry-on-size/#Checked_Luggage_Dimension_and_Weight_Policy,34690893,0,23,0.0,468.0,equipments,18
114,114,equipments,vueling airlines carry on size,https://bookonboard.com/vueling-carry-on-size/,43936502792,128,74807,69.72220184,439400.8401,equipments,925
115,115,Travel,10 best places to visit in tanzania,https://bookonboard.com/things-to-do-in-tanzania/,293001575,0,538,0.0,22627.10079,Travel,19
116,116,Travel,10 things to do in nairobi,https://bookonboard.com/things-to-do-in-nairobi/#List_of_Top_10_Things_To_Do_In_Nairobi,1387417,0,3,0.0,68.0,Travel,2
117,117,Travel,10 things to do in nairobi,https://bookonboard.com/things-to-do-in-nairobi/#Wrapping_up,1387420,0,3,0.0,68.0,Travel,2
118,118,Travel,10 things to do in nairobi,https://bookonboard.com/things-to-do-in-nairobi/#BookOnBoards_Nairobi_Travel_Guide,1387414,0,3,0.0,68.0,Travel,2
119,119,Travel,activities in kenya,https://bookonboard.com/things-to-do-in-kenya/,52658705,0,58,0.0,2637.833333,Travel,13
120,120,Travel,beautiful places to visit in uganda,https://bookonboard.com/things-to-do-in-uganda/,591459681,0,1573,0.0,37187.01796,Travel,15
121,121,Travel,best things to do in harare,https://bookonboard.com/things-to-do-in-zimbabwe/#Top_10_things_to_do_in_Harare,9539469,0,8,0.0,305.0,Travel,3
122,122,Travel,best things to do in harare,https://bookonboard.com/things-to-do-in-zimbabwe/#Frequently_Asked_Questions_About_Harare,5486450,0,5,0.0,169.0,Travel,3
123,123,Travel,best things to do in harare,https://bookonboard.com/things-to-do-in-zimbabwe/#BookOnBoards_Guide_to_Harare,9539456,0,8,0.0,305.0,Travel,3
124,124,Travel,best things to do in seychelles,https://bookonboard.com/things-to-do-in-seychelles/#B_Things_to_do_in_Praslin,334701,0,1,0.0,68.0,Travel,1
125,125,Travel,best things to do in seychelles,https://bookonboard.com/things-to-do-in-seychelles/#BookOnBoards_Guide_to_Seychelles,1683777,0,2,0.0,166.0,Travel,2
126,126,Travel,best things to do in seychelles,https://bookonboard.com/things-to-do-in-seychelles/#A_Things_to_Do_in_Mahe,1683774,0,2,0.0,166.0,Travel,2
127,127,Travel,tanzania things to do,https://bookonboard.com/things-to-do-in-tanzania/#FAQs_about_visiting_Tanzania,1333692,0,1,0.0,75.0,Travel,1
128,128,Travel,tanzania things to do,https://bookonboard.com/things-to-do-in-tanzania/#List_of_Top_10_Things_to_do_in_Tanzania,1333693,0,1,0.0,75.0,Travel,1
129,129,Travel,tanzania things to do,https://bookonboard.com/things-to-do-in-tanzania/#BookOnBoards_Guide_to_Tanzania,1333691,0,1,0.0,75.0,Travel,1
130,130,Travel,things found in the uganda museum,https://bookonboard.com/things-to-do-in-kampala/#BookOnBoards_Guide_to_Kampala,5690978,0,5,0.0,238.5,Travel,3
131,131,Travel,things found in the uganda museum,https://bookonboard.com/things-to-do-in-kampala/#Frequently_Asked_Questions_FAQs_about_Kampala,4041337,0,4,0.0,197.5,Travel,2
132,132,Travel,things found in the uganda museum,https://bookonboard.com/things-to-do-in-kampala/#List_of_top_10_things_to_in_Kampala,5690985,0,5,0.0,238.5,Travel,3
133,133,Travel,things to do in kampala,https://bookonboard.com/things-to-do-in-kampala/,1817405834,1,3089,1.0,84255.72697,Travel,64
134,134,Travel,things to do in uganda,https://bookonboard.com/things-to-do-in-uganda/#Top_10_Things_to_Do_in_Uganda,4051481,0,4,0.0,209.0,Travel,1
135,135,Travel,things to do in uganda,https://bookonboard.com/things-to-do-in-uganda/#Frequently_Asked_Questions_about_Uganda,2700975,0,2,0.0,144.0,Travel,1
136,136,Travel,things to do in uganda,https://bookonboard.com/things-to-do-in-uganda/#BookOnBoards_Guide_to_Uganda,4051476,0,4,0.0,209.0,Travel,1
137,137,Travel,10 best places to visit in mauritius,https://bookonboard.com/things-to-do-in-mauritius/,217859944,0,295,0.0,12853.02381,Travel,30
138,138,Travel,activities to do in seychelles,https://bookonboard.com/things-to-do-in-seychelles/,172458373,0,252,0.0,15067.96071,Travel,22
139,139,Travel,best things to do in mauritius,https://bookonboard.com/things-to-do-in-mauritius/#List_of_top_10_things_to_do_in_Mauritius,334032,0,1,0.0,26.0,Travel,1
140,140,Travel,best things to do in mauritius,https://bookonboard.com/things-to-do-in-mauritius/#BookOnBoards_Guide_to_Mauritius,334030,0,1,0.0,26.0,Travel,1
141,141,Travel,best things to do in mauritius,https://bookonboard.com/things-to-do-in-mauritius/#FAQs_About_Things_to_Do_in_Mauritius,334031,0,1,0.0,26.0,Travel,1
142,142,Travel,aerosol can airplane,https://bookonboard.com/can-you-take-aerosols-on-a-plane/#Can_you_actually_take_aerosols_on_a_plane,35852891,0,148,0.0,1864.812229,Travel,50
143,143,Travel,aerosol can airplane,https://bookonboard.com/can-you-take-aerosols-on-a-plane/#How_are_Aerosols_Dangerous_on_Planes,32884503,0,130,0.0,1747.449603,Travel,50
144,144,Travel,aerosol deodorant airplane,https://bookonboard.com/can-you-take-aerosols-on-a-plane/,7788350352,12,19955,10.16666667,652841.1162,Travel,1236
145,145,Travel,aerosol deodorant tsa,https://bookonboard.com/can-you-take-aerosols-on-a-plane/#Conclusion,8945651,0,18,0.0,514.0,Travel,18
146,146,Travel,aerosol spray airplane,https://bookonboard.com/can-you-take-aerosols-on-a-plane/#Aerosols_Allowed_under_Certain_Conditions,6544486,0,86,0.0,277.4384921,Travel,8
147,147,Travel,aerosol spray airplane,https://bookonboard.com/can-you-take-aerosols-on-a-plane/#Aerosols_Allowed_on_Planes,9512924,0,104,0.0,394.8031385,Travel,8
148,148,Travel,deodorant united airlines,https://bookonboard.com/united-carry-on-size/#Frequently_Asked_Questions_8211_United_Airlines_Carry-On_and_Checked_Luggages,115152757,0,152,0.0,806.6666667,Travel,10
149,149,Travel,deodorant united airlines,https://bookonboard.com/united-carry-on-size/#How_to_HandlenbspUnitednbspBasic_Economy_Bag_Issuesnbsp,100031984,0,132,0.0,689.75,Travel,9
150,150,Travel,deodorant united airlines,https://bookonboard.com/united-carry-on-size/#How_to_Save_on_Carry-on_Fees_when_Flying_Basic_Economy,49406219,0,74,0.0,414.5,Travel,5
151,151,Travel,deodorant united airlines,https://bookonboard.com/united-carry-on-size/#Items_Allowed_in_UnitednbspCarry-onnbspbagsnbsp,240367632,0,268,0.0,1902.166667,Travel,18
152,152,Travel,airlines accept paypal,https://bookonboard.com/which-airlines-accept-paypal-for-payment/#Other_Benefits_to_Paying_Using_PayPal,68073978,0,68,0.0,651.0,Travel,25
153,153,Travel,airlines accept paypal,https://bookonboard.com/which-airlines-accept-paypal-for-payment/#Things_to_Consider_When_Using_PayPal_as_a_Payment_Option,13772193,0,16,0.0,76.5,Travel,6
154,154,Travel,airlines that accept paypal,https://bookonboard.com/which-airlines-accept-paypal-for-payment/#Can_you_use_PayPal_to_pay_for_flights,68150065,0,67,0.0,717.0,Travel,28
155,155,Travel,airlines that accept paypal,https://bookonboard.com/which-airlines-accept-paypal-for-payment/,22215914627,281,54243,115.721187,387902.6496,Travel,582
156,156,Travel,airlines that accept paypal,https://bookonboard.com/which-airlines-accept-paypal-for-payment/#What_Makes_PayPal_a_Good_Payment_Option,51280627,0,56,0.0,771.5,Travel,31
157,157,Travel,buy flights with paypal,https://bookonboard.com/which-airlines-accept-paypal-for-payment/#Things_to_Consider_When_Using_PayPal_as_Payment_Option,2212836,0,4,0.0,75.0,Travel,3
158,158,Travel,can i pay credit card with paypal,https://bookonboard.com/web-stories/which-airlines-accept-paypal-for-payment/,29912774,0,68,0.0,931.0,Travel,26
159,159,Travel,alaska airlines heavy baggage fee,https://bookonboard.com/alaska-airlines-carry-on-size/#Frequently_Asked_Questions_8211_Alaska_Airlines,70185,0,1,0.0,94.0,Travel,1
160,160,Travel,are carry on bags free on hawaiian airlines,https://bookonboard.com/hawaiian-airlines-baggage-fees/,23335694451,55,82206,29.21122169,551095.273,Travel,967
161,161,Travel,baggage fees for hawaiian airlines,https://bookonboard.com/hawaiian-airlines-baggage-fees/#Hawaiian_Airlines_Carry-On_Baggage_Allowance,40929837,0,56,0.0,1213.5,Travel,43
162,162,Travel,baggage fees for hawaiian airlines,https://bookonboard.com/hawaiian-airlines-baggage-fees/#Hawaiian_Airlines_Carry-On_Restrictions,40929889,0,56,0.0,1213.5,Travel,43
163,163,equipments,athletic hiking boots,https://bookonboard.com/best-hiking-boots-for-women/,211825883,0,287,0.0,17427.25,equipments,68
164,164,equipments,best asolo hiking boots,https://bookonboard.com/best-asolo-hiking-boots-for-women/,242151,0,1,0.0,35.0,equipments,1
165,165,equipments,best hiking boots for ankle support,https://bookonboard.com/best-hiking-boots-for-ankle-support/,241495258,2,562,1.2,14013.89048,equipments,67
166,166,equipments,best hiking sock liners,https://bookonboard.com/best-sock-liners-for-hiking/,58973526,0,159,0.0,4070.858347,equipments,25
167,167,equipments,compression leggings for hiking,https://bookonboard.com/are-compression-pants-good-for-hiking/,2523671,0,8,0.0,157.0,equipments,4
168,168,equipments,compression socks hiking,https://bookonboard.com/wool-compression-socks-for-hiking/,1386043,0,3,0.0,171.5,equipments,2
